L,d,method,variant,mean_ms,std_ms,device_name,cuda_version,torch_version
64,32,cpu_baseline,,0.029111604671925306,0.000857009113344733,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,32,gpu_naive,,0.027367040067911148,0.004120925545765631,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,32,gpu_tiled,,0.025872640013694763,0.0008331127858803253,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,32,gpu_fused_softmax_pv,,0.02329280011355877,0.0006454250258488015,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,32,gpu_official_pytorch,sdpa_default,0.055175039917230606,0.0011847833567600748,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,32,cpu_baseline,,0.03588344668969512,0.0012263136373630512,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,32,gpu_naive,,0.03460159994661808,0.00239838900265891,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,32,gpu_tiled,,0.025475840233266354,0.001249093004489457,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,32,gpu_fused_softmax_pv,,0.02320256009697914,0.0006923203423739382,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,32,gpu_official_pytorch,sdpa_default,0.0549728000164032,0.0009789123289869106,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,32,cpu_baseline,,0.060418122448027134,0.0007951477366812952,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,32,gpu_naive,,0.08255679979920387,0.0007180063621530916,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,32,gpu_tiled,,0.03582400038838387,0.0007499819521295808,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,32,gpu_fused_softmax_pv,,0.04449471995234489,0.005306183229765402,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,32,gpu_official_pytorch,sdpa_default,0.073109120875597,0.005138560074209059,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,32,cpu_baseline,,0.11403790675103664,0.0022017372848007178,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,32,gpu_naive,,0.2609036833047867,0.00245633719691399,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,32,gpu_tiled,,0.08616127967834472,0.003557031492448193,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,32,gpu_fused_softmax_pv,,0.1341523200273514,0.00311851408554438,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,32,gpu_official_pytorch,eager_gemm_softmax,0.0890617598593235,0.009300500779465289,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,32,cpu_baseline,,0.4876817623153329,0.15539596921640994,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,32,gpu_naive,,0.9705804824829102,0.0009373078359650225,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,32,gpu_tiled,,0.2777676808834076,0.0006791716878734922,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,32,gpu_fused_softmax_pv,,0.5209209668636322,0.0007372821974061854,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,32,gpu_official_pytorch,eager_gemm_softmax,0.11776704058051109,0.0023916424941459588,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,64,cpu_baseline,,0.028983508236706257,0.0009438127689106615,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,64,gpu_naive,,0.026888319961726664,0.0027778491036272255,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,64,gpu_tiled,,0.026242559924721718,0.0008313556673511011,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
